"","beta.ff","gamma.mm","gamma.mf","gamma.fm","theta","env.foi","hunt.f","hunt.m","fin.pop4.75","fin.prev4.75","fin.pop9.75","fin.prev9.75","fin.pop14.75","fin.prev14.75","fin.pop24.75","fin.prev24.75","R0","scenario","rate.var","rate.val","trans"
"1",0.045,2,1,2,1,0,0,0.05,2928.80751600098,0.0526346998666084,3920.11580552338,0.0784134723551208,5003.48266219778,0.101056373059217,7367.31577724643,0.123878640007622,NA,"equal","af",0,"Freq. Dep."
"2",0.045,2,1,2,1,0,0.01,0.05,2803.95742553857,0.0560671104290634,3561.92383810352,0.0870945575183138,4270.15861203318,0.113602992564304,5488.78798516439,0.136309064978972,NA,"equal","af",0.01,"Freq. Dep."
"3",0.045,2,1,2,1,0,0.02,0.05,2682.88810934461,0.0599358559611394,3227.95046558046,0.0970852593490384,3621.1804465942,0.127569204363911,4046.07471868016,0.14869954397959,NA,"equal","af",0.02,"Freq. Dep."
"4",0.045,2,1,2,1,0,0.03,0.05,2565.45270289536,0.0643190459352668,2916.3778755917,0.108600789193389,3048.39628123825,0.142964579567823,2950.25203316502,0.160837737771535,NA,"equal","af",0.03,"Freq. Dep."
"5",0.045,2,1,2,1,0,0.04,0.05,2451.49836395176,0.0693128067541364,2625.48301544395,0.121885144284759,2544.61236523337,0.159735140799572,2127.41864181417,0.172549717805183,NA,"equal","af",0.04,"Freq. Dep."
"6",0.045,2,1,2,1,0,0.05,0.05,2340.86423128396,0.0750363629534298,2353.63754980127,0.137209481394568,2103.49287337406,0.177748743311107,1516.7612108102,0.183714020096872,NA,"equal","af",0.05,"Freq. Dep."
"7",0.045,2,1,2,1,0,0.06,0.05,2233.37874640986,0.0816388048030139,2099.31165996668,0.154866696294934,1719.44799830266,0.196786051791997,1068.86585126493,0.194267433480443,NA,"equal","af",0.06,"Freq. Dep."
"8",0.045,2,1,2,1,0,0.07,0.05,2128.85609631567,0.0893081788938058,1861.08335136077,0.175160445897032,1387.50734935631,0.216541283816217,744.169137922946,0.204202796903067,NA,"equal","af",0.07,"Freq. Dep."
"9",0.045,2,1,2,1,0,0.08,0.05,2027.09142653543,0.0982838011335996,1637.65544895939,0.198386804287164,1103.17961895389,0.236636221036076,511.496860519158,0.213560699591946,NA,"equal","af",0.08,"Freq. Dep."
"10",0.045,2,1,2,1,0,0.09,0.05,1927.85430881262,0.108873065967481,1427.88290108683,0.224807426129211,862.305411045385,0.256648970740473,346.684420153992,0.222417696213413,NA,"equal","af",0.09,"Freq. Dep."
"11",0.045,2,1,2,1,0,0.1,0.05,1830.87969214121,0.12147455327566,1230.81308929365,0.254615205083298,660.916805039321,0.276156003047365,231.299727265229,0.230873511848515,NA,"equal","af",0.1,"Freq. Dep."
"12",0.045,2,1,2,1,0,0.11,0.05,1735.85516395726,0.13660996081357,1045.74100286045,0.287897915131235,495.12218843875,0.294783298947754,151.496829787926,0.239039039139524,NA,"equal","af",0.11,"Freq. Dep."
"13",0.045,2,1,2,1,0,0.12,0.05,1642.40270387608,0.154968343465896,872.27849647048,0.324613308227057,361.035184812328,0.312261834387693,97.0218737594588,0.247026083507146,NA,"equal","af",0.12,"Freq. Dep."
"14",0.045,2,1,2,1,0,0.13,0.05,1550.05206026598,0.177467269936613,710.431306587511,0.364601956371297,254.760320737044,0.328486312865174,60.3799953502156,0.254939036103408,NA,"equal","af",0.13,"Freq. Dep."
"15",0.045,2,1,2,1,0,0.14,0.05,1458.20113067516,0.205336524252703,560.66833197226,0.407685119085735,172.436414938531,0.343587759013061,36.1586197580939,0.262868027181363,NA,"equal","af",0.14,"Freq. Dep."
